left_category,right_category,pair_receipts,left_receipts,right_receipts,total_receipts,support,confidence_left_to_right,confidence_right_to_left,lift,score
Кольца,Сопутствующие материалы,3,190,3,793,0.003783,0.015789,1.0,4.1737,0.7136
Браслеты,Сопутствующие материалы,3,213,3,793,0.003783,0.014085,1.0,3.723,0.6753
Серьги,Сопутствующие материалы,3,439,3,793,0.003783,0.006834,1.0,1.8064,0.5124
Кольца,Серьги,102,190,439,793,0.128625,0.536842,0.232346,0.9697,0.3969
Браслеты,Серьги,108,213,439,793,0.136192,0.507042,0.246014,0.9159,0.3863
Кулоны,Серьги,76,147,439,793,0.095839,0.517007,0.173121,0.9339,0.386
Серьги,Чокеры,59,439,120,793,0.074401,0.134396,0.491667,0.8881,0.3743
Броши,Кольца,3,6,190,793,0.003783,0.5,0.015789,2.0868,0.3462
Броши,Серьги,4,6,439,793,0.005044,0.666667,0.009112,1.2043,0.3449
Браслеты,Чокеры,43,213,120,793,0.054224,0.201878,0.358333,1.3341,0.3432
Каффы,Серьги,51,132,439,793,0.064313,0.386364,0.116173,0.6979,0.3332
Колье,Серьги,19,38,439,793,0.02396,0.5,0.04328,0.9032,0.3295
Браслеты,Броши,3,213,6,793,0.003783,0.014085,0.5,1.8615,0.3271
Браслеты,Кольца,49,213,190,793,0.061791,0.230047,0.257895,0.9601,0.2833
Браслеты,Колье,13,213,38,793,0.016393,0.061033,0.342105,1.2737,0.2757
Кольца,Кулоны,34,190,147,793,0.042875,0.178947,0.231293,0.9653,0.2549
Кольца,Чокеры,26,190,120,793,0.032787,0.136842,0.216667,0.9043,0.2365
Браслеты,Кулоны,24,213,147,793,0.030265,0.112676,0.163265,0.6078,0.2124
Каффы,Кольца,19,132,190,793,0.02396,0.143939,0.1,0.6008,0.1942
Каффы,Кулоны,18,132,147,793,0.022699,0.136364,0.122449,0.7356,0.1889
