left_key,right_key,left_name,right_name,left_article,right_article,left_category,right_category,pair_receipts,left_receipts,right_receipts,total_receipts,support,confidence_left_to_right,confidence_right_to_left,lift,jaccard,score
article:73031,article:73083,Кулон Prism of Elegance галстук с крупными камнями и крестом,Серьги Prism of Elegance гвоздик с крупным акцентным графитовым фианитом,73031,73083,Кулоны,Серьги,3,8,3,794,0.003778,0.375,1.0,99.25,0.375,0.821
article:73034,article:73050,Чокер Crystal багетные камни сбоку,Браслет Crystal жесткий с багетным камнем по кругу,73034,73050,Чокеры,Браслеты,3,3,21,794,0.003778,1.0,0.142857,37.8095,0.142857,0.7978
article:73023,article:73071,Чокер Prism of Elegance с камнямии сверху,Браслет Prism of Elegance жесткий с графитовыми камнями,73023,73071,Чокеры,Браслеты,3,14,4,794,0.003778,0.214286,0.75,42.5357,0.2,0.7085
article:70082,article:71157,Серьги Magna конго базовые мятые,Браслет Bicolor с мятыми кольцами,70082,71157,Серьги,Браслеты,3,37,4,794,0.003778,0.081081,0.75,16.0946,0.078947,0.6964
article:70082,article:71068,Серьги Magna конго базовые мятые,Чокер Bicolor с мятыми элементами,70082,71068,Серьги,Чокеры,4,37,6,794,0.005038,0.108108,0.666667,14.3063,0.102564,0.6773
article:73026,article:73050,Чокер Crystal камни в багетной огранке сверху,Браслет Crystal жесткий с багетным камнем по кругу,73026,73050,Чокеры,Браслеты,4,9,21,794,0.005038,0.444444,0.190476,16.8042,0.153846,0.598
article:73050,article:88017,Браслет Crystal жесткий с багетным камнем по кругу,Серьги Crystal малые с изумрудной огранкой,73050,88017,Браслеты,Серьги,3,21,9,794,0.003778,0.142857,0.333333,12.6032,0.111111,0.5412
article:70082,article:70133,Серьги Magna конго базовые мятые,Кулон Magna с мятым элементом на бегунке,70082,70133,Серьги,Кулоны,5,37,19,794,0.006297,0.135135,0.263158,5.6472,0.098039,0.5318
article:73023,article:73029,Чокер Prism of Elegance с камнямии сверху,Браслет Crystal с камнями по кругу,73023,73029,Чокеры,Браслеты,3,14,14,794,0.003778,0.214286,0.214286,12.1531,0.12,0.4969
