left_category,right_category,pair_receipts,left_receipts,right_receipts,total_receipts,support,confidence_left_to_right,confidence_right_to_left,lift,score
Кольца,Сопутствующие материалы,4,304,4,1175,0.003404,0.013158,1.0,3.8651,0.6976
Сопутствующие материалы,Чокеры,3,4,169,1175,0.002553,0.75,0.017751,5.2145,0.6887
Браслеты,Сопутствующие материалы,4,357,4,1175,0.003404,0.011204,1.0,3.2913,0.6488
Кулоны,Сопутствующие материалы,3,218,4,1175,0.002553,0.013761,0.75,4.0424,0.6073
Серьги,Сопутствующие материалы,4,633,4,1175,0.003404,0.006319,1.0,1.8562,0.5268
Броши,Кольца,8,13,304,1175,0.006809,0.615385,0.026316,2.3785,0.4523
Кольца,Серьги,159,304,633,1175,0.135319,0.523026,0.251185,0.9709,0.3923
Кулоны,Серьги,108,218,633,1175,0.091915,0.495413,0.170616,0.9196,0.3774
Серьги,Чокеры,83,633,169,1175,0.070638,0.131122,0.491124,0.9116,0.3737
Браслеты,Серьги,164,357,633,1175,0.139574,0.459384,0.259084,0.8527,0.3685
Браслеты,Чокеры,68,357,169,1175,0.057872,0.190476,0.402367,1.3243,0.3663
Браслеты,Броши,7,357,13,1175,0.005957,0.019608,0.538462,1.7722,0.366
Колье,Серьги,30,59,633,1175,0.025532,0.508475,0.047393,0.9439,0.353
Каффы,Серьги,72,181,633,1175,0.061277,0.39779,0.113744,0.7384,0.3373
Броши,Серьги,7,13,633,1175,0.005957,0.538462,0.011058,0.9995,0.3004
Браслеты,Кольца,90,357,304,1175,0.076596,0.252101,0.296053,0.9744,0.3002
Браслеты,Колье,21,357,59,1175,0.017872,0.058824,0.355932,1.1715,0.2931
Броши,Чокеры,4,13,169,1175,0.003404,0.307692,0.023669,2.1393,0.2878
Кольца,Чокеры,44,304,169,1175,0.037447,0.144737,0.260355,1.0063,0.2775
Кольца,Кулоны,48,304,218,1175,0.040851,0.157895,0.220183,0.851,0.2659
Браслеты,Кулоны,43,357,218,1175,0.036596,0.120448,0.197248,0.6492,0.2519
Броши,Кулоны,4,13,218,1175,0.003404,0.307692,0.018349,1.6584,0.2469
Каффы,Кольца,33,181,304,1175,0.028085,0.18232,0.108553,0.7047,0.2335
Колье,Кольца,15,59,304,1175,0.012766,0.254237,0.049342,0.9827,0.2248
Браслеты,Каффы,28,357,181,1175,0.02383,0.078431,0.154696,0.5092,0.2153
Каффы,Кулоны,23,181,218,1175,0.019574,0.127072,0.105505,0.6849,0.1957
Колье,Кулоны,10,59,218,1175,0.008511,0.169492,0.045872,0.9135,0.175
Колье,Чокеры,9,59,169,1175,0.00766,0.152542,0.053254,1.0606,0.1693
Кулоны,Чокеры,16,218,169,1175,0.013617,0.073394,0.094675,0.5103,0.167
Каффы,Чокеры,9,181,169,1175,0.00766,0.049724,0.053254,0.3457,0.1264
Каффы,Колье,4,181,59,1175,0.003404,0.022099,0.067797,0.4401,0.0998
