left_category,right_category,pair_receipts,left_receipts,right_receipts,total_receipts,support,confidence_left_to_right,confidence_right_to_left,lift,score
Кольца,Сопутствующие материалы,4,304,4,1176,0.003401,0.013158,1.0,3.8684,0.6978
Сопутствующие материалы,Чокеры,3,4,169,1176,0.002551,0.75,0.017751,5.2189,0.6887
Браслеты,Сопутствующие материалы,4,357,4,1176,0.003401,0.011204,1.0,3.2941,0.649
Кулоны,Сопутствующие материалы,3,219,4,1176,0.002551,0.013699,0.75,4.0274,0.606
Серьги,Сопутствующие материалы,4,633,4,1176,0.003401,0.006319,1.0,1.8578,0.5269
Броши,Кольца,8,13,304,1176,0.006803,0.615385,0.026316,2.3806,0.4525
Кольца,Серьги,159,304,633,1176,0.135204,0.523026,0.251185,0.9717,0.3923
Кулоны,Серьги,108,219,633,1176,0.091837,0.493151,0.170616,0.9162,0.3766
Серьги,Чокеры,83,633,169,1176,0.070578,0.131122,0.491124,0.9124,0.3737
Браслеты,Серьги,164,357,633,1176,0.139456,0.459384,0.259084,0.8535,0.3685
Браслеты,Чокеры,68,357,169,1176,0.057823,0.190476,0.402367,1.3254,0.3663
Браслеты,Броши,7,357,13,1176,0.005952,0.019608,0.538462,1.7738,0.3662
Колье,Серьги,30,59,633,1176,0.02551,0.508475,0.047393,0.9447,0.353
Каффы,Серьги,72,181,633,1176,0.061224,0.39779,0.113744,0.739,0.3373
Броши,Серьги,7,13,633,1176,0.005952,0.538462,0.011058,1.0004,0.3004
Браслеты,Кольца,90,357,304,1176,0.076531,0.252101,0.296053,0.9752,0.3002
Браслеты,Колье,21,357,59,1176,0.017857,0.058824,0.355932,1.1725,0.2932
Броши,Чокеры,4,13,169,1176,0.003401,0.307692,0.023669,2.1411,0.2879
Кольца,Чокеры,44,304,169,1176,0.037415,0.144737,0.260355,1.0072,0.2776
Кольца,Кулоны,48,304,219,1176,0.040816,0.157895,0.219178,0.8479,0.2655
Браслеты,Кулоны,43,357,219,1176,0.036565,0.120448,0.196347,0.6468,0.2515
Броши,Кулоны,4,13,219,1176,0.003401,0.307692,0.018265,1.6523,0.2464
Каффы,Кольца,33,181,304,1176,0.028061,0.18232,0.108553,0.7053,0.2335
Колье,Кольца,15,59,304,1176,0.012755,0.254237,0.049342,0.9835,0.2248
Браслеты,Каффы,28,357,181,1176,0.02381,0.078431,0.154696,0.5096,0.2153
Каффы,Кулоны,23,181,219,1176,0.019558,0.127072,0.105023,0.6824,0.1957
Колье,Кулоны,10,59,219,1176,0.008503,0.169492,0.045662,0.9101,0.175
Колье,Чокеры,9,59,169,1176,0.007653,0.152542,0.053254,1.0615,0.1694
Кулоны,Чокеры,16,219,169,1176,0.013605,0.073059,0.094675,0.5084,0.167
Каффы,Чокеры,9,181,169,1176,0.007653,0.049724,0.053254,0.346,0.1264
Каффы,Колье,4,181,59,1176,0.003401,0.022099,0.067797,0.4405,0.0998
