left_key,right_key,left_name,right_name,left_article,right_article,left_category,right_category,pair_receipts,left_receipts,right_receipts,total_receipts,support,confidence_left_to_right,confidence_right_to_left,lift,jaccard,score
article:rp00677-g,article:rp01759,Чокер многослойный с камнем в коньячном цвете Raganella Princess,Серьги с монетами в биколоре Raganella Princess,RP00677-G,RP01759,Чокеры,Серьги,3,4,6,1176,0.002551,0.75,0.5,147.0,0.428571,0.7313
article:rp01662,article:rp01759,Чокер с монетой Raganella Princess,Серьги с монетами в биколоре Raganella Princess,RP01662,RP01759,Чокеры,Серьги,3,4,6,1176,0.002551,0.75,0.5,147.0,0.428571,0.7313
article:rp01759,article:rp01860-g,Серьги с монетами в биколоре Raganella Princess,Колье удлиненное с двумя монетами Raganella Princess,RP01759,RP01860-G,Серьги,Колье,3,6,4,1176,0.002551,0.5,0.75,147.0,0.428571,0.7313
article:kl02202055/1-g,article:rp00103-g,Серьги Kalliope акцентные с прозрачной ювелирной смолой зеленого цвета,Серьги с прямоугольными камнями в коньячном цвете Raganella Princess,KL02202055/1-G,RP00103-G,Серьги,Серьги,3,8,4,1176,0.002551,0.375,0.75,110.25,0.333333,0.7218
article:kl02202055/1-g,article:rp00230-g,Серьги Kalliope акцентные с прозрачной ювелирной смолой зеленого цвета,Кольцо с прямоугольным камнем в коньячном цвете Raganella Princess,KL02202055/1-G,RP00230-G,Серьги,Кольца,3,8,4,1176,0.002551,0.375,0.75,110.25,0.333333,0.7218
article:kl02202055/1-g,article:rp00677-g,Серьги Kalliope акцентные с прозрачной ювелирной смолой зеленого цвета,Чокер многослойный с камнем в коньячном цвете Raganella Princess,KL02202055/1-G,RP00677-G,Серьги,Чокеры,3,8,4,1176,0.002551,0.375,0.75,110.25,0.333333,0.7218
article:kl02202055/1-g,article:rp01860-g,Серьги Kalliope акцентные с прозрачной ювелирной смолой зеленого цвета,Колье удлиненное с двумя монетами Raganella Princess,KL02202055/1-G,RP01860-G,Серьги,Колье,3,8,4,1176,0.002551,0.375,0.75,110.25,0.333333,0.7218
article:kl02201064/1-g,article:kl02202055/1-g,Кольцо Kalliope с прозрачной ювелирной смолой зеленого цвета,Серьги Kalliope акцентные с прозрачной ювелирной смолой зеленого цвета,KL02201064/1-G,KL02202055/1-G,Кольца,Серьги,4,6,8,1176,0.003401,0.666667,0.5,98.0,0.4,0.707
article:73031-b,article:73083-b,Кулон Prism of Elegance галстук с крупными камнями и крестом,Серьги Prism of Elegance гвоздик с крупным акцентным графитовым фианитом,73031-B,73083-B,Кулоны,Серьги,3,5,5,1176,0.002551,0.6,0.6,141.12,0.428571,0.6743
article:kl02201003/1-g,article:kl02201039/1-g,Кольцо Kalliope широкое мятое с чернением,Кольцо Kalliope мятое с чернением,KL02201003/1-G,KL02201039/1-G,Кольца,Кольца,3,6,5,1176,0.002551,0.5,0.6,117.6,0.375,0.669
article:kl02201003/1-g,article:kl02202040/1-g,Кольцо Kalliope широкое мятое с чернением,Серьги Kalliope мятые с чернением,KL02201003/1-G,KL02202040/1-G,Кольца,Серьги,3,6,5,1176,0.002551,0.5,0.6,117.6,0.375,0.669
article:73034-s,article:73050-s,Чокер Crystal багетные камни сбоку,Браслет Crystal жесткий с багетным камнем по кругу,73034-S,73050-S,Чокеры,Браслеты,3,5,17,1176,0.002551,0.6,0.176471,41.5059,0.157895,0.6473
article:73026-s,article:73050-s,Чокер Crystal камни в багетной огранке сверху,Браслет Crystal жесткий с багетным камнем по кругу,73026-S,73050-S,Чокеры,Браслеты,3,5,17,1176,0.002551,0.6,0.176471,41.5059,0.157895,0.6473
article:kl02202055/1-g,article:rp01759,Серьги Kalliope акцентные с прозрачной ювелирной смолой зеленого цвета,Серьги с монетами в биколоре Raganella Princess,KL02202055/1-G,RP01759,Серьги,Серьги,3,8,6,1176,0.002551,0.375,0.5,73.5,0.272727,0.6207
article:73023-g,article:73029-g,Чокер Prism of Elegance с камнямии сверху,Браслет Crystal с камнями по кругу,73023-G,73029-G,Чокеры,Браслеты,4,12,10,1176,0.003401,0.333333,0.4,39.2,0.222222,0.5879
article:73026-g,article:73050-g,Чокер Crystal камни в багетной огранке сверху,Браслет Crystal жесткий с багетным камнем по кругу,73026-G,73050-G,Чокеры,Браслеты,3,8,14,1176,0.002551,0.375,0.214286,31.5,0.157895,0.5618
