left_category,right_category,pair_receipts,left_receipts,right_receipts,total_receipts,support,confidence_left_to_right,confidence_right_to_left,lift,score
Кольца,Сопутствующие материалы,4,304,4,1177,0.003398,0.013158,1.0,3.8717,0.6981
Сопутствующие материалы,Чокеры,3,4,169,1177,0.002549,0.75,0.017751,5.2234,0.6887
Браслеты,Сопутствующие материалы,4,357,4,1177,0.003398,0.011204,1.0,3.2969,0.6493
Кулоны,Сопутствующие материалы,3,219,4,1177,0.002549,0.013699,0.75,4.0308,0.6063
Серьги,Сопутствующие материалы,4,633,4,1177,0.003398,0.006319,1.0,1.8594,0.5271
Броши,Кольца,8,13,304,1177,0.006797,0.615385,0.026316,2.3826,0.4526
Кольца,Серьги,159,304,633,1177,0.135089,0.523026,0.251185,0.9725,0.3923
Кулоны,Серьги,108,219,633,1177,0.091759,0.493151,0.170616,0.917,0.3766
Серьги,Чокеры,83,633,169,1177,0.070518,0.131122,0.491124,0.9132,0.3737
Браслеты,Серьги,164,357,633,1177,0.139337,0.459384,0.259084,0.8542,0.3685
Браслеты,Чокеры,68,357,169,1177,0.057774,0.190476,0.402367,1.3266,0.3664
Браслеты,Броши,7,357,13,1177,0.005947,0.019608,0.538462,1.7753,0.3663
Колье,Серьги,30,59,633,1177,0.025489,0.508475,0.047393,0.9455,0.353
Каффы,Серьги,72,182,633,1177,0.061172,0.395604,0.113744,0.7356,0.3364
Броши,Серьги,7,13,633,1177,0.005947,0.538462,0.011058,1.0012,0.3005
Браслеты,Кольца,90,357,304,1177,0.076466,0.252101,0.296053,0.9761,0.3001
Браслеты,Колье,21,357,59,1177,0.017842,0.058824,0.355932,1.1735,0.2933
Броши,Чокеры,4,13,169,1177,0.003398,0.307692,0.023669,2.1429,0.2881
Кольца,Чокеры,44,304,169,1177,0.037383,0.144737,0.260355,1.008,0.2776
Кольца,Кулоны,48,304,219,1177,0.040782,0.157895,0.219178,0.8486,0.2655
Браслеты,Кулоны,43,357,219,1177,0.036534,0.120448,0.196347,0.6473,0.2515
Броши,Кулоны,4,13,219,1177,0.003398,0.307692,0.018265,1.6537,0.2465
Каффы,Кольца,33,182,304,1177,0.028037,0.181319,0.108553,0.702,0.2331
Колье,Кольца,15,59,304,1177,0.012744,0.254237,0.049342,0.9843,0.2248
Браслеты,Каффы,28,357,182,1177,0.023789,0.078431,0.153846,0.5072,0.215
Каффы,Кулоны,23,182,219,1177,0.019541,0.126374,0.105023,0.6792,0.1955
Колье,Кулоны,10,59,219,1177,0.008496,0.169492,0.045662,0.9109,0.175
Колье,Чокеры,9,59,169,1177,0.007647,0.152542,0.053254,1.0624,0.1694
Кулоны,Чокеры,16,219,169,1177,0.013594,0.073059,0.094675,0.5088,0.167
Каффы,Чокеры,9,182,169,1177,0.007647,0.049451,0.053254,0.3444,0.1264
Каффы,Колье,4,182,59,1177,0.003398,0.021978,0.067797,0.4384,0.0998
