store_name,period_month,source_file,source_sheet,metric_key,metric_label,plan,fact,percent,forecast,forecast_percent,deviation,last_year_fact,lfl_deviation
ТРК Центрум,2026-03,ЕО Центрум01.03.2026.xlsx,Центрум,checks_count,Кол-во чеков,190.0,120.0,0.631578947368421,120.0,0.631578947368421,-69.9999999999999,,
ТРК Центрум,2026-03,ЕО Центрум01.03.2026.xlsx,Центрум,shifts_count,Кол-во смен,31.0,31.0,1.0,1570.99999999999,,1539.99999999999,,
ТРК Центрум,2026-03,ЕО Центрум01.03.2026.xlsx,Центрум,avg_sales_per_shift,Средние продажи в смену,65703.2258064516,45517.5161290322,0.692774450117832,45517.5161290322,0.692774450117832,-20185.7096774193,,
ТРК Центрум,2026-03,ЕО Центрум01.03.2026.xlsx,Центрум,lag_lead,Отставание/Перевыполнение,,-625756.999999999,,-625756.999999999,,,,
ТРК Центрум,2026-03,ЕО Центрум01.03.2026.xlsx,Центрум,traffic,Трафик,1900.0,1571.0,0.8268421052631579,1571.0,0.826842105263157,-329.0,,
ТРК Центрум,2026-03,ЕО Центрум01.03.2026.xlsx,Центрум,revenue,Выручка на  вошедшего,1072.0,898.181413112667,0.837855795814055,898.181413112667,0.837855795814055,-173.818586887332,,
ТРК Центрум,2026-03,ЕО Центрум01.03.2026.xlsx,Центрум,conversion,Конверсия,0.1,0.0763844684914067,0.763844684914067,0.763844684914067,0.763844684914067,0.663844684914067,,
ТРК Центрум,2026-01,ЕО Центрум_01.2026.xlsx,Центрум,revenue,Выручка,1918620.0,1422519.98,0.7414287248126258,1422519.9800000007,0.7414287248126261,-496100.0199999993,,
ТРК Центрум,2026-01,ЕО Центрум_01.2026.xlsx,Центрум,items_count,Кол-во изделий,290.7,202.0,0.694874441004472,202.0000000000001,0.6948744410044724,-88.69999999999987,,
ТРК Центрум,2026-01,ЕО Центрум_01.2026.xlsx,Центрум,avg_check,Средний чек,11220.0,12931.999818181817,1.1525846540269,12931.999818181817,1.1525846540269,1711.9998181818173,,
