store_name,period_month,source_file,metric_key,metric_label,plan,fact,percent,forecast,forecast_percent,deviation,last_year_fact,lfl_deviation
"Ялта, Набережная 18",2026-02,ЕО Ялта Ленина 18_02.2026.xlsx,conversion,Конверсия план/факт,0.164,0.08947095435684647,0.5455545997368687,0.12616781191764498,0.7693159263271035,-0.03783218808235503,,
"Ялта, Набережная 18",2025-03,ЕО Ялта Ленина 18_03.2025.xlsx,revenue,Выручка,1656141.4518000002,1482639.0,0.8952369366690106,1482639.0000000002,0.8952369366690107,-173502.45179999992,,
"Ялта, Набережная 18",2025-03,ЕО Ялта Ленина 18_03.2025.xlsx,items_count,Кол-во изделий,342.6027,320.0,0.9340264977479745,320.00000000000006,0.9340264977479746,-22.60269999999997,,
"Ялта, Набережная 18",2025-03,ЕО Ялта Ленина 18_03.2025.xlsx,avg_check,Средний чек,9039.58,8191.375690607735,0.9061677302051351,8191.375690607735,0.9061677302051351,-848.2043093922648,0.0,
"Ялта, Набережная 18",2025-03,ЕО Ялта Ленина 18_03.2025.xlsx,avg_item_price,Средняя стоимость изделия,4834.0,4633.246875,0.9584705988829126,4633.246875,0.9584705988829126,-200.75312500000018,,
"Ялта, Набережная 18",2025-03,ЕО Ялта Ленина 18_03.2025.xlsx,items_per_check,Длина чека,1.87,1.7679558011049723,0.9454309096818033,1.7679558011049723,0.9454309096818033,-0.1020441988950278,,
"Ялта, Набережная 18",2025-03,ЕО Ялта Ленина 18_03.2025.xlsx,checks_count,Кол-во чеков,183.21,181.0,0.9879373396648654,181.0,0.9879373396648654,-2.210000000000008,,
"Ялта, Набережная 18",2025-03,ЕО Ялта Ленина 18_03.2025.xlsx,shifts_count,Кол-во смен,31.0,31.0,1.0,780.0000000000001,25.161290322580648,749.0000000000001,,
"Ялта, Набережная 18",2025-03,ЕО Ялта Ленина 18_03.2025.xlsx,avg_sales_per_shift,Средние продажи в смену,53423.9178,47827.06451612903,0.8952369366690106,47827.06451612903,0.8952369366690106,-5596.8532838709725,,
"Ялта, Набережная 18",2025-03,ЕО Ялта Ленина 18_03.2025.xlsx,lag_lead,Отставание/Перевыполнение,,-173502.45180000016,,-173502.45180000016,,,,
"Ялта, Набережная 18",2025-03,ЕО Ялта Ленина 18_03.2025.xlsx,traffic,Трафик,591.0,780.0,1.3197969543147208,780.0,1.3197969543147208,189.0,,
"Ялта, Набережная 18",2025-03,ЕО Ялта Ленина 18_03.2025.xlsx,conversion,Конверсия план/факт,0.31,0.23205128205128206,0.7485525227460712,0.24021742852631303,0.774894930730042,-0.06978257147368697,,
"Ялта, Набережная 18",2026-03,ЕО Ялта Ленина 18_03.2026.xlsx,revenue,Выручка,2017008.0,1218796.0,0.604259378247384,1218795.99999999,0.604259378247384,-798212.0,1482639.0,-263843.0
"Ялта, Набережная 18",2026-03,ЕО Ялта Ленина 18_03.2026.xlsx,items_count,Кол-во изделий,292.32,178.0,0.608921729611384,178.0,0.608921729611384,-114.319999999999,315.9256339228638,-137.925633922863
"Ялта, Набережная 18",2026-03,ЕО Ялта Ленина 18_03.2026.xlsx,avg_check,Средний чек,12006.0,11285.1481481481,0.939959032829264,11285.1481481481,0.939959032829264,-720.851851851852,8306.61,2978.53814814814
"Ялта, Набережная 18",2026-03,ЕО Ялта Ленина 18_03.2026.xlsx,avg_item_price,Средняя стоимость изделия,6900.0,6847.16853932584,0.992343266568962,6847.16853932578,0.992343266568954,-52.8314606742142,4693.0,2154.16853932578
"Ялта, Набережная 18",2026-03,ЕО Ялта Ленина 18_03.2026.xlsx,items_per_check,Длина чека,1.74,1.64814814814814,0.947211579395487,1.64814814814814,0.947211579395487,-0.0918518518518518,1.77,-0.121851851851851
"Ялта, Набережная 18",2026-03,ЕО Ялта Ленина 18_03.2026.xlsx,checks_count,Кол-во чеков,168.0,108.0,0.642857142857142,108.0,0.642857142857143,-59.9999999999999,181.0,-72.9999999999999
"Ялта, Набережная 18",2026-03,ЕО Ялта Ленина 18_03.2026.xlsx,shifts_count,Кол-во смен,31.0,31.0,1.0,31.0,1.0,0.0,31.0,0.0
"Ялта, Набережная 18",2026-03,ЕО Ялта Ленина 18_03.2026.xlsx,avg_sales_per_shift,Средние продажи в смену,65064.77419354839,39316.0,0.604259378247384,39316.0,0.604259378247384,-25748.7741935483,47827.06451612903,-8511.06451612903
"Ялта, Набережная 18",2026-03,ЕО Ялта Ленина 18_03.2026.xlsx,lag_lead,Отставание/Перевыполнение,,-798212.0,,-798212.0,,,-173502.0,-624710.0
"Ялта, Набережная 18",2026-03,ЕО Ялта Ленина 18_03.2026.xlsx,traffic,Трафик,1400.0,1312.8000000000002,0.9377142857142858,1312.8,0.937714285714285,-87.1999999999998,780.0,532.8
"Ялта, Набережная 18",2026-03,ЕО Ялта Ленина 18_03.2026.xlsx,revenue,Выручка на  вошедшего,1440.72,928.394271785496,0.644396046272347,928.394271785496,0.644396046272347,-512.325728214503,1900.8192307692307,-972.424958983734
